ock,Experience Hands-on ( 100 Words ),Years,Category,"Courseware
Skillware",Self Rating,Last edited time,__PowerAppsId__
365,Experienced in implementing Office 365 API integration and reverse engineering to develop CRM applications.,3,System Administrator,https://github.com/rifaterdemsahin/logicapp-emailsend/tree/main,,"July 13, 2023 07:24",794ce7fa5ee541d9a85ce9f66000ef76
.NET,Developed over 10 distinct applications utilizing design patterns.,8,Back End Development,https://github.com/rifaterdemsahin/PrometheusRemoteWriteOpenShiftClusters/tree/main,8,"July 27, 2023 20:50",5d486f402db1433aaa598c260228632e
.NetCore,Demonstrated expertise in creating applications using .NET Core.,2,Back End Development,https://github.com/rifaterdemsahin/PrometheusRemoteWriteOpenShiftClusters/tree/main,7,"July 27, 2023 20:51",96817e9d5e4f429d86b7993daee5ea43
Adaptive,Applied adaptive security techniques as a Site Reliability Engineer (SRE) to prevent attacks on a bitcoin exchange,2,Secure Coding,https://github.com/rifaterdemsahin/adaptivesecuritytechniques/tree/main,,"August 17, 2023 16:13",e9f364261ab34fee8bda53aa338eb340
Administration,"Managed diverse systems across multiple industries mac ,windows and linux.",7,System Administrator,No,8,"July 27, 2023 21:28",39e57d9f307142bbb923b2fe3eadd7a8
Advanced,Worked at Accenture using SonarQube to scan advanced Java code bases,2,Back End Development,No,6,"July 27, 2023 20:52",f9d63c1955ab450dbc3a77efaa532c09
Agile,"Demonstrated proficiency in Agile project management techniques. This includes expertise in iterative development, enabling the team to adapt to changes quickly and deliver high-quality results efficiently. Proficient in fostering cross-functional collaboration to leverage diverse skills and perspectives, leading to innovative solutions and successful project outcomes. Additionally, adept at adaptive planning, which ensures that project goals are met despite potential changes and challenges. This proficiency in Agile methodologies has been applied across multiple projects, resulting in improved team performance and project delivery timelines",2,Software Engineering,No,,"August 17, 2023 16:13",a3966330d1404360848838007b6cdf92
Agile and Team Collaboration,"My active participation in Agile environments as part of the PAM team has been pivotal in managing, automating, and enhancing PAM capabilities, ensuring collaborative success and timely delivery of solutions.",3,,No,6,,c42969f0751e4998bb6ec9fbce3f849e
AIOps," Demonstrated expertise in creating AI-based workflows to support CI/CD systems for on-demand delivery. This includes designing and implementing AI solutions that enhance the efficiency and effectiveness of CI/CD systems, ultimately improving the delivery timelines and quality of projects.",2,AI,No,,"August 17, 2023 16:13",f1fa5aa6a41f4f3a9746eef99c67e93c
Ajax,"Demonstrated expertise in creating XHR-based systems for ad server companies. This includes designing and implementing efficient solutions, troubleshooting issues, and ensuring optimal performance.",2,Front End Development,No,,"August 17, 2023 16:13",726b62db2e0d4509bf87e141f54e4fab
